time/fps,rollout/ep_rew_mean_U_0,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean_B_1,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_rew_mean_B_0,time/total_timesteps,rollout/ep_rew_mean_U_1,train/approx_kl,rollout/bias_estimate,train/value_loss_B_0,train/value_loss_U_1,train/explained_variance_B_0,train/loss,train/policy_gradient_loss_U_0,rollout/benefit_1,train/entropy_loss,train/learning_rate,train/value_loss_U_0,train/value_loss,rollout/benefit_0,train/clip_range,train/explained_variance_U_0,train/policy_gradient_loss_B_0,train/policy_gradient_loss_U_1,train/policy_gradient_loss_B_1,train/explained_variance_B_1,train/explained_variance_U_1,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/value_loss_B_1
232,346.36,2000.0,25,456.48,110.42,430,562.64,100000,256.34,0.002940279,0.15261585,4.52570838294332,1.761153332960038,0.031546711921691895,4.3793230056762695,-0.0033197093208039564,0.5927881,-0.5000471844086571,1e-05,2.88557110239589,5.07006414277213,0.74540395,0.2,0.030719757080078125,0.00027936093568328826,-0.004981229950984319,-0.0017136820976341527,0.01324164867401123,0.008724033832550049,0.008333333333333333,-0.003386258002045372,240,0.005991160869598389,3.4239061235435426
231,351.0576923076923,2000.0,26,455.5,116.86538461538461,448,562.5384615384615,104000,257.61538461538464,0.0037293155,0.14921135,4.663505265069387,1.9232566940406013,0.03412896394729614,11.769083976745605,-0.003165416789817668,0.57455015,-0.46878370798769453,1e-05,3.0775458745540134,5.942971798730275,0.7237615,0.2,0.033363163471221924,6.619819129506747e-05,-0.004897726748493455,-0.001054830758255862,0.025547027587890625,0.018371999263763428,0.007192460317460317,-0.0028355377208855418,250,0.002440810203552246,3.424652447397747
231,356.24074074074076,2000.0,27,454.94444444444446,125.46296296296296,465,562.9629629629629,108000,260.1666666666667,0.0011009775,0.10703802,4.444954934952751,1.8904066326126219,0.022656023502349854,4.923920154571533,-0.0005653031702552522,0.64156884,-0.4395329588935489,1e-05,3.165663907452235,5.7950052079700285,0.74860686,0.2,0.0276716947555542,0.00019299754104207432,-0.000379863918005001,-0.0005969610331313951,0.02603137493133545,0.02870965003967285,0.0,-0.0017028096612424605,260,0.007417917251586914,3.4458800912849488
231,359.9107142857143,2000.0,28,455.4107142857143,132.28571428571428,483,561.7678571428571,112000,263.44642857142856,0.0016462125,0.089989245,4.628413259888452,2.0030349638726976,0.01724642515182495,6.736367225646973,-0.002005181650054597,0.65478927,-0.41214653911098603,1e-05,3.1473830899548907,5.847384429356408,0.7447785,0.2,0.01873147487640381,-0.0004036676907350147,-0.002316813865706088,-0.00040819695042002767,0.03534144163131714,0.0340915322303772,0.00029761904761904765,-0.0016306028642233401,270,0.004919469356536865,3.6692300707574876
231,363.62068965517244,2000.0,29,454.86206896551727,137.89655172413794,501,560.7586206896551,116000,265.17241379310343,0.0013234334,0.10976678,4.921024447584909,2.1559382136852023,0.023417174816131592,6.525021076202393,-0.0003405777367925833,0.67050856,-0.38723430624083865,1e-05,3.4145643414959075,5.685153458610413,0.78027534,0.2,0.027004718780517578,-0.0006658747363539916,-0.00039031997633477055,-0.0006720572466119415,0.0364985466003418,0.03466874361038208,0.002703373015873016,-0.002305751026327175,280,0.008587837219238281,3.6318233138039
231,368.05,2000.0,30,454.71666666666664,144.78333333333333,518,561.1333333333333,120000,266.75,0.0018621058,0.12417221,4.643600364715334,1.8596870814997053,0.029731154441833496,5.78948450088501,0.0002016700900322388,0.67130554,-0.3809115182312708,1e-05,3.4591059179533095,5.99442391774011,0.79547775,0.2,0.031231939792633057,-0.0002590890367707563,0.002088257357744234,0.0002931500208519754,0.02298915386199951,0.025642216205596924,0.00047123015873015874,-0.0014524828110422407,290,0.00015288591384887695,3.5656381693151262
231,371.0483870967742,2000.0,31,454.8225806451613,150.7258064516129,536,560.241935483871,124000,269.01612903225805,0.00048418372,0.13921952,4.7176821148584756,2.115335060963555,0.029652833938598633,4.430248260498047,-0.0006069634065386795,0.67876357,-0.3728451695707109,1e-05,3.5549261431845407,5.259247604059794,0.8179831,0.2,0.028548479080200195,-9.516184661714804e-05,-0.0007205339621693369,-8.15370689249701e-05,0.03206133842468262,0.02748960256576538,0.0,-0.0007461869586554785,300,0.0021074414253234863,3.607440383661361
231,373.9375,2000.0,32,455.65625,156.671875,554,559.375,128000,271.375,0.0011792001,0.18369639,5.098311136828529,2.0010271553009273,0.029228389263153076,3.955667734146118,-0.0007606479782788526,0.6514435,-0.36265359066781544,1e-05,3.7118263524676127,5.911128014988369,0.8351399,0.2,0.029609620571136475,-0.0005062444497727686,0.0007535360435703917,3.707288720068477e-05,0.02740323543548584,0.03145480155944824,0.0010168650793650794,-0.001807910240151816,310,0.0025817155838012695,3.333970681542442
230,378.04545454545456,2000.0,33,455.42424242424244,163.03030303030303,571,559.7878787878788,132000,272.72727272727275,0.001083618,0.14134985,4.282115150444091,2.229362309641308,0.016704261302947998,10.886689186096191,-0.000927616801438114,0.691864,-0.3404887289754928,1e-05,3.2287238587462714,6.067459153750586,0.83321387,0.2,0.021151304244995117,-0.00028268486734420536,-0.0009353254071717697,-0.00046963412240738904,0.029547154903411865,0.02597421407699585,0.0,-0.0016976004126407797,320,0.004527091979980469,3.765804230220734
230,380.9264705882353,2000.0,34,455.61764705882354,168.86764705882354,589,559.1764705882352,136000,274.8235294117647,0.0012637686,0.12365937,5.033556305037605,2.092427350982787,0.031051993370056152,39.2296028137207,-0.002052824715861962,0.712405,-0.3145800149156934,1e-05,4.164141483723172,6.241500661486671,0.8360644,0.2,0.0319175124168396,-0.0008331097736363373,-0.0022214003254674257,-0.0004215491318424779,0.018339455127716064,0.02224123477935791,0.0036706349206349206,-0.001850139530789521,330,0.005527198314666748,3.354515035947164
230,384.5285714285714,2000.0,35,455.7,175.31428571428572,607,559.3714285714286,140000,277.1,0.0013146256,0.10678983,4.555698728750622,2.227166004313363,0.02866828441619873,7.49836540222168,-0.001597959381927337,0.74554425,-0.2977825128842914,1e-05,3.578032903917252,5.8093789872669035,0.8523341,0.2,0.03138768672943115,-0.0005151551105969009,-0.002733351653885274,-0.0007723324954332341,0.02877175807952881,0.0323185920715332,0.007390873015873016,-0.002547554134406031,340,0.00682908296585083,3.5051709598019007
230,387.6666666666667,2000.0,36,455.1388888888889,180.97222222222223,624,559.1944444444445,144000,278.90277777777777,0.0010685446,0.17397839,5.002494010660383,2.2372635308712248,0.029968202114105225,15.829565048217773,-0.0009517937085576474,0.6851156,-0.2638597049173855,1e-05,4.260757271070329,6.757532551175072,0.85909396,0.2,0.030780375003814697,-0.00018261089507076475,-0.0024341518561991436,-0.0002625897245865966,0.03167521953582764,0.027740180492401123,0.001240079365079365,-0.0013575037527415487,350,0.0066484808921813965,3.5230745918220943
230,390.36486486486484,2000.0,37,455.86486486486484,186.85135135135135,642,558.9864864864865,148000,280.85135135135135,0.00078182406,0.1748308,4.85977797735305,2.107129314967564,0.04133760929107666,5.713292598724365,-0.0001859243264392255,0.6960712,-0.2439558136557776,1e-05,3.991669876424093,5.516988025014363,0.870902,0.2,0.04400712251663208,-0.00032197400217964534,0.0006836450643955715,0.0004139523147531445,0.028530240058898926,0.03565710783004761,0.0006944444444444445,-0.0011528855869694361,360,0.010599792003631592,3.296203765604231
230,393.2236842105263,2000.0,38,455.7105263157895,192.47368421052633,660,559.1578947368421,152000,282.4605263157895,0.00069717446,0.09339756,4.430408074931493,2.460007644172699,0.023858726024627686,5.054030895233154,0.00033226957293375144,0.7433764,-0.2519367433256573,1e-05,3.6784997981692116,6.10119570474776,0.83677393,0.2,0.02817779779434204,-0.00019921930876397898,0.00038953210478500717,0.0001316592710772677,0.029018700122833252,0.032801806926727295,0.0001240079365079365,-0.0005907692517789584,370,0.006398975849151611,3.924514476458232
230,394.97435897435895,2000.0,39,455.5897435897436,195.87179487179486,677,558.1410256410256,156000,283.38461538461536,0.0017765921,0.1416995,4.328900731272167,2.0992568237440925,0.02531301975250244,6.630396842956543,-0.0021962098052932155,0.7170612,-0.24288153901459678,1e-05,3.8030019533066524,5.62441677668738,0.8587607,0.2,0.02751213312149048,-0.0011063290730355278,-0.002663166330949891,-0.0011756171782811482,0.02405846118927002,0.029616117477416992,0.003298611111111111,-0.0011534982915258124,380,0.006036937236785889,3.266290353593372
230,396.6875,2000.0,40,456.2625,200.3,695,557.2375,160000,285.675,0.0010282604,0.10715592,4.802122542593215,2.2075951671789564,0.029177546501159668,6.5539422035217285,0.0002503596150153686,0.75289947,-0.23971844646665785,1e-05,4.013808448541732,7.598363877099658,0.8600554,0.2,0.030282914638519287,-0.0007245538164935415,0.0008177668129700044,-0.00022631782210535473,0.022962868213653564,0.026037156581878662,0.004464285714285714,-0.0012014559521857234,390,0.008342087268829346,3.7170836834680467
230,398.3780487804878,2000.0,41,456.5121951219512,204.609756097561,713,556.4756097560976,164000,287.4878048780488,0.0007680535,0.13086063,4.514445590594458,2.3332148786575075,0.03029501438140869,8.567665100097656,-0.0015582118198157304,0.74967927,-0.2199926296396861,1e-05,3.886101925183856,6.94932985986982,0.8805399,0.2,0.03203922510147095,-0.0007438900939647167,-0.0013961009097300352,-0.0012445201217714283,0.020569145679473877,0.03153961896896362,0.0037450396825396827,-0.001778748258948326,400,0.008443951606750488,3.588050139991064
229,401.5952380952381,2000.0,42,456.76190476190476,210.38095238095238,730,557.202380952381,168000,289.4047619047619,0.00036524955,0.15846467,4.392298786413102,2.684429961916,0.014029979705810547,5.935089588165283,-3.8292697290816e-05,0.71354544,-0.2151657335578449,1e-05,3.6058070731541467,6.910796559424627,0.8720101,0.2,0.016185462474822998,-4.244623853573723e-06,-0.0009041821502799553,-0.00015382933105149911,0.02575284242630005,0.03286337852478027,0.0,-0.0002809997448431594,410,0.0007418990135192871,3.8798991682037474
229,402.6511627906977,2000.0,43,457.0232558139535,213.1860465116279,748,556.4883720930233,172000,290.8488372093023,0.0005084526,0.1326611,4.407798206616961,2.359311274687449,0.019180893898010254,6.064177513122559,-8.177205269771909e-05,0.73782307,-0.20190100099832292,1e-05,3.672870682345496,7.677874124617803,0.8704842,0.2,0.02175229787826538,-0.0004814294662090048,0.00030150792694517547,0.00011906390935773887,0.02661532163619995,0.029018521308898926,0.0005952380952380953,-0.0007601208090486508,420,0.005764007568359375,3.5235869887329283
229,405.6363636363636,2000.0,44,456.90909090909093,217.5340909090909,766,557.3295454545455,176000,291.5113636363636,0.000360353,0.07528764,4.6797026615294195,2.4025351971860918,0.029065847396850586,22.454580307006836,-0.0006606640175931038,0.79313457,-0.20599106275846088,1e-05,3.7334224822029234,5.9864793194664845,0.8684222,0.2,0.03527820110321045,-0.0004196606665140107,2.887067237188892e-05,-0.00011210138539946269,0.03323328495025635,0.04176205396652222,7.440476190476191e-05,-0.0007077008567100006,430,0.005773663520812988,3.655620022236355
229,407.15555555555557,2000.0,45,456.6222222222222,220.33333333333334,783,556.9888888888889,180000,292.43333333333334,0.00010388155,0.13991082,5.118996781205374,2.3959303451908958,0.034117817878723145,5.459352970123291,-0.0002242202094445626,0.7417504,-0.19455845923650833,1e-05,4.452620256893218,6.257270745625571,0.88166124,0.2,0.04001861810684204,-0.0003388593202486398,-0.00029463074687454435,-0.00017015115757073674,0.027343690395355225,0.03445327281951904,0.0,-0.000311680268200617,440,0.0077866315841674805,3.545826322313339
229,408.95652173913044,2000.0,46,457.0108695652174,224.4673913043478,801,556.8695652173913,184000,293.7608695652174,0.0005083331,0.119452894,4.504466737262787,2.4831294015286463,0.02616095542907715,18.023454666137695,0.0001619329247328024,0.7529706,-0.18252640118201574,1e-05,3.696059683769468,6.605922136609516,0.87242347,0.2,0.030965328216552734,-0.00041319490114729554,0.00013597410778322863,-0.0004628244927892136,0.031645357608795166,0.039268672466278076,0.0024305555555555556,-0.0007797795362652295,450,0.0012485980987548828,3.664338164386295
229,410.22340425531917,2000.0,47,457.3936170212766,228.08510638297872,818,556.6914893617021,188000,294.93617021276594,0.0015433653,0.115419626,4.902099779673985,2.2773587664914507,0.02437061071395874,14.036158561706543,-3.8039239330424205e-05,0.77654946,-0.18168117219493501,1e-05,4.068803889600058,6.738524204965621,0.8919691,0.2,0.02899038791656494,-0.0009652935559787448,0.0014874025957570189,0.00036532902084882295,0.026829302310943604,0.02954941987991333,0.0012152777777777778,-0.0009116385701215929,460,-0.00010061264038085938,3.6804997693924677
229,411.34375,2000.0,48,457.4166666666667,231.19791666666666,836,556.7604166666666,192000,295.5,0.0013677061,0.1204918,5.046362998750475,2.309754918775861,0.03218799829483032,6.337806224822998,0.000585317091336326,0.7615074,-0.18786380353664595,1e-05,4.113719898083853,6.209119170052665,0.8819992,0.2,0.034959495067596436,-0.00022780821023006288,-5.761602937820412e-05,-0.0010906933075083153,0.02448362112045288,0.03466230630874634,0.003621031746031746,-0.0010144532643376835,470,0.0020408034324645996,3.4494353589557467
229,412.6020408163265,2000.0,49,457.96938775510205,235.10204081632654,854,556.6632653061224,196000,296.96938775510205,0.00052603806,0.17809838,4.5209369559136645,2.5398255719078913,0.019264042377471924,19.47646141052246,-0.0004992047376516793,0.6976122,-0.20833884744890152,1e-05,3.842761376358214,7.062680909368727,0.8757106,0.2,0.02366650104522705,-8.743905521456212e-05,-0.0009281569086606541,0.00011166518494959861,0.028055965900421143,0.03165912628173828,0.00034722222222222224,-0.00025562003609679994,480,0.004906177520751953,3.8168466055204
229,413.97,2000.0,50,458.21,238.3,871,556.84,200000,298.05,0.0013816563,0.09229809,4.816158624300881,2.784983503818512,0.025881707668304443,5.923388957977295,-0.0018738677518235314,0.77146167,-0.18018782018196014,1e-05,3.8149026098705474,6.228045021919977,0.86375976,0.2,0.02830028533935547,-0.0005093293648863596,-0.0028098799539582123,-0.0012245652221498035,0.0334891676902771,0.04520225524902344,0.009598214285714286,-0.0017088059409861526,490,0.0038455724716186523,4.193651746946668
229,417.45,2000.0,51,458.62,244.77,889,555.84,204000,299.65,0.0014611848,0.17625964,4.54180908203125,2.331694871849484,0.026253461837768555,5.477743625640869,-0.00023717466919195084,0.6963409,-0.17955593292911848,1e-05,3.6942718853080083,6.95683807948279,0.87260056,0.2,0.02855062484741211,-0.0011802433960376277,0.0015287558954682143,-5.148656015831327e-05,0.0269622802734375,0.02771860361099243,0.0042658730158730155,-0.0011622456730239921,500,0.004042685031890869,3.5907141527486224
229,420.47,2000.0,52,459.57,252.21,906,554.92,208000,302.3,0.00032039342,0.11642408,4.568050842436533,2.3040661445685795,0.02665412425994873,4.1653594970703125,6.0700135867274e-05,0.75623006,-0.18163934183262642,1e-05,3.784955352071732,5.565906862228636,0.87265414,0.2,0.031012415885925293,-0.00011793032052024963,0.0005701154485226623,6.9719392599331e-05,0.03109264373779297,0.037194788455963135,0.0,-0.00015426876895602735,510,0.009035766124725342,3.581094506241026
